Date,Bullish,Neutral,Bearish,BullBearSpread
1996-06-27,42.0000,41.0000,17.0000,25.0000
1996-07-03,32.0000,44.0000,24.0000,8.0000
1996-07-11,40.0000,35.0000,25.0000,15.0000
1996-07-18,29.0000,45.0000,26.0000,3.0000
1996-07-25,30.0000,32.0000,38.0000,-8.0000
1996-08-01,29.0000,38.0000,33.0000,-4.0000
1996-08-08,27.0000,42.0000,31.0000,-4.0000
1996-08-15,43.0000,37.0000,20.0000,23.0000
1996-08-22,28.0000,46.0000,26.0000,2.0000
1996-08-29,28.0000,43.0000,29.0000,-1.0000
1996-09-05,29.0000,35.0000,36.0000,-7.0000
1996-09-12,26.0000,46.0000,28.0000,-2.0000
1996-09-19,28.0000,41.0000,31.0000,-3.0000
1996-09-26,34.0000,39.0000,27.0000,7.0000
1996-10-03,40.0000,31.0000,29.0000,11.0000
1996-10-10,38.0000,36.0000,26.0000,12.0000
1996-10-17,39.0000,36.0000,25.0000,14.0000
1996-10-24,42.0000,33.0000,25.0000,17.0000
1996-10-31,37.0000,29.0000,34.0000,3.0000
1996-11-07,26.0000,45.0000,29.0000,-3.0000
1996-11-14,37.0000,34.0000,29.0000,8.0000
1996-11-21,43.0000,30.0000,27.0000,16.0000
1996-11-27,52.0000,27.0000,21.0000,31.0000
1996-12-05,41.0000,26.0000,33.0000,8.0000
1996-12-12,40.0000,28.0000,32.0000,8.0000
1996-12-19,33.0000,28.0000,39.0000,-6.0000
1996-12-26,37.0000,33.0000,30.0000,7.0000
1997-01-02,43.0000,33.0000,24.0000,19.0000
1997-01-09,36.0000,39.0000,25.0000,11.0000
1997-01-16,42.0000,32.0000,26.0000,16.0000
1997-01-23,37.0000,41.0000,22.0000,15.0000
1997-01-30,51.0000,33.0000,16.0000,35.0000
1997-02-06,47.0000,29.0000,24.0000,23.0000
1997-02-13,45.0000,37.0000,18.0000,27.0000
1997-02-20,44.0000,36.0000,20.0000,24.0000
1997-02-27,63.0000,22.0000,15.0000,48.0000
1997-03-06,43.0000,37.0000,20.0000,23.0000
1997-03-13,34.0000,36.0000,30.0000,4.0000
1997-03-20,36.0000,42.0000,22.0000,14.0000
1997-03-27,27.0000,40.0000,33.0000,-6.0000
1997-04-03,29.0000,40.0000,31.0000,-2.0000
